Chr	Contig	Contig length	Window	Start	End	Window length	Number of filtered sites	Number of SNPs
2R	NW_023496807.1	14656957	10	1726600	1880883	154284	125000	86278
2R	NW_023496807.1	14656957	11	1880884	2111128	230245	125000	85849
2R	NW_023496807.1	14656957	12	2111129	2273695	162567	125000	84537
2R	NW_023496807.1	14656957	13	2273696	2430045	156350	125000	85945
2R	NW_023496807.1	14656957	14	2430046	2609583	179538	125000	87352
2R	NW_023496807.1	14656957	15	2609584	2782123	172540	125000	87817
2R	NW_023496807.1	14656957	16	2782124	2942410	160287	125000	84129
2R	NW_023496807.1	14656957	17	2942411	3119690	177280	125000	86165
2R	NW_023496807.1	14656957	18	3119691	3285749	166059	125000	89050
2R	NW_023496807.1	14656957	19	3285750	3464416	178667	125000	88637
2R	NW_023496807.1	14656957	20	3464417	3630166	165750	125000	86930
2R	NW_023496807.1	14656957	21	3630167	3799921	169755	125000	86324
2R	NW_023496807.1	14656957	22	3799922	3965106	165185	125000	83390
2R	NW_023496807.1	14656957	23	3965107	4127244	162138	125000	84921
2R	NW_023496807.1	14656957	24	4127245	4298639	171395	125000	86684
2R	NW_023496807.1	14656957	25	4298640	4474490	175851	125000	84191
2R	NW_023496807.1	14656957	26	4474491	4655502	181012	125000	87984
2R	NW_023496807.1	14656957	27	4655503	4827577	172075	125000	84909
2R	NW_023496807.1	14656957	28	4827578	5004253	176676	125000	87528
2R	NW_023496807.1	14656957	29	5004254	5165521	161268	125000	83987
2R	NW_023496807.1	14656957	30	5165522	5324815	159294	125000	84792
2R	NW_023496807.1	14656957	31	5324816	5490066	165251	125000	87120
2R	NW_023496807.1	14656957	32	5490067	5661467	171401	125000	82544
2R	NW_023496807.1	14656957	33	5661468	5824047	162580	125000	87662
2R	NW_023496807.1	14656957	34	5824048	5988953	164906	125000	86225
2R	NW_023496807.1	14656957	35	5988954	6168232	179279	125000	85389
2R	NW_023496807.1	14656957	36	6168233	6348573	180341	125000	85119
2R	NW_023496807.1	14656957	37	6348574	6540084	191511	125000	85013
2R	NW_023496807.1	14656957	38	6540085	6711545	171461	125000	84839
2R	NW_023496807.1	14656957	39	6711546	6889990	178445	125000	85020
2R	NW_023496807.1	14656957	40	6889991	7110352	220362	125000	84848
2R	NW_023496807.1	14656957	41	7110353	7292894	182542	125000	87441
2R	NW_023496807.1	14656957	42	7292895	7483380	190486	125000	86733
2R	NW_023496807.1	14656957	43	7483381	7666362	182982	125000	84731
2R	NW_023496807.1	14656957	44	7666363	7847780	181418	125000	86580
2R	NW_023496807.1	14656957	45	7847781	8013379	165599	125000	85562
2R	NW_023496807.1	14656957	46	8013380	8188128	174749	125000	84579
2R	NW_023496807.1	14656957	47	8188129	8354903	166775	125000	82719
2R	NW_023496807.1	14656957	48	8354904	8541168	186265	125000	84564
2R	NW_023496807.1	14656957	49	8541169	8706154	164986	125000	80827
2R	NW_023496807.1	14656957	50	8706155	8869702	163548	125000	83817
2R	NW_023496807.1	14656957	51	8869703	9025102	155400	125000	82393
2R	NW_023496807.1	14656957	52	9025103	9196035	170933	125000	84532
2R	NW_023496807.1	14656957	53	9196036	9367808	171773	125000	86258
2R	NW_023496807.1	14656957	54	9367809	9545491	177683	125000	84868
2R	NW_023496807.1	14656957	55	9545492	9715052	169561	125000	86809
2R	NW_023496807.1	14656957	56	9715053	9876061	161009	125000	80943
2R	NW_023496807.1	14656957	57	9876062	10054704	178643	125000	83602
2R	NW_023496807.1	14656957	58	10054705	10240745	186041	125000	85049
2R	NW_023496807.1	14656957	59	10240746	10421474	180729	125000	86963
2R	NW_023496807.1	14656957	60	10421475	10614452	192978	125000	86722
2R	NW_023496807.1	14656957	61	10614453	10781169	166717	125000	85682
2R	NW_023496807.1	14656957	62	10781170	10950019	168850	125000	84767
2R	NW_023496807.1	14656957	63	10950020	11119002	168983	125000	83603
2R	NW_023496807.1	14656957	64	11119003	11307612	188610	125000	85753
2R	NW_023496807.1	14656957	65	11307613	11481235	173623	125000	84660
2R	NW_023496807.1	14656957	66	11481236	11659971	178736	125000	81509
2R	NW_023496807.1	14656957	67	11659972	11833930	173959	125000	80586
2R	NW_023496807.1	14656957	68	11833931	12004176	170246	125000	81233
2R	NW_023496807.1	14656957	69	12004177	12175662	171486	125000	83895
2R	NW_023496807.1	14656957	70	12175663	12344147	168485	125000	82405
2R	NW_023496807.1	14656957	71	12344148	12523698	179551	125000	86067
2R	NW_023496807.1	14656957	72	12523699	12690554	166856	125000	81864
2R	NW_023496807.1	14656957	73	12690555	12858545	167991	125000	81278
2R	NW_023496807.1	14656957	74	12858546	13041238	182693	125000	82952
2R	NW_023496807.1	14656957	75	13041239	13225541	184303	125000	83100
2R	NW_023496807.1	14656957	76	13225542	13403986	178445	125000	83695
2R	NW_023496807.1	14656957	77	13403987	13585423	181437	125000	84095
2R	NW_023496807.1	14656957	78	13585424	13770921	185498	125000	83802
2R	NW_023496807.1	14656957	79	13770922	13945418	174497	125000	83138
2R	NW_023496807.1	14656957	80	13945419	14120348	174930	125000	82558
2R	NW_023496807.1	14656957	81	14120349	14289077	168729	125000	84775
2R	NW_023496807.1	14656957	82	14289078	14476048	186971	125000	82152
3L	NW_023496812.1	24550668	0	1	178925	178925	125000	86727
3L	NW_023496812.1	24550668	1	178926	339585	160660	125000	90918
3L	NW_023496812.1	24550668	2	339586	512821	173236	125000	90313
3L	NW_023496812.1	24550668	3	512822	690533	177712	125000	88862
3L	NW_023496812.1	24550668	4	690534	877080	186547	125000	89674
3L	NW_023496812.1	24550668	5	877081	1046619	169539	125000	88908
3L	NW_023496812.1	24550668	6	1046620	1229557	182938	125000	89511
3L	NW_023496812.1	24550668	7	1229558	1396319	166762	125000	87779
3L	NW_023496812.1	24550668	8	1396320	1571460	175141	125000	87830
3L	NW_023496812.1	24550668	9	1571461	1744222	172762	125000	89041
3L	NW_023496812.1	24550668	10	1744223	1925190	180968	125000	89921
3L	NW_023496812.1	24550668	11	1925191	2096742	171552	125000	87288
3L	NW_023496812.1	24550668	12	2096743	2264090	167348	125000	89693
3L	NW_023496812.1	24550668	13	2264091	2442218	178128	125000	88857
3L	NW_023496812.1	24550668	14	2442219	2606912	164694	125000	86395
3L	NW_023496812.1	24550668	15	2606913	2780843	173931	125000	89706
3L	NW_023496812.1	24550668	16	2780844	2947447	166604	125000	85770
3L	NW_023496812.1	24550668	17	2947448	3118864	171417	125000	86098
3L	NW_023496812.1	24550668	18	3118865	3294456	175592	125000	88527
3L	NW_023496812.1	24550668	19	3294457	3465170	170714	125000	89182
3L	NW_023496812.1	24550668	20	3465171	3637288	172118	125000	89576
3L	NW_023496812.1	24550668	21	3637289	3811127	173839	125000	89509
3L	NW_023496812.1	24550668	22	3811128	3984101	172974	125000	90769
3L	NW_023496812.1	24550668	23	3984102	4171752	187651	125000	86375
3L	NW_023496812.1	24550668	24	4171753	4362153	190401	125000	91846
3L	NW_023496812.1	24550668	25	4362154	4541567	179414	125000	90913
3L	NW_023496812.1	24550668	26	4541568	4715321	173754	125000	92443
3L	NW_023496812.1	24550668	27	4715322	4902083	186762	125000	91888
3L	NW_023496812.1	24550668	28	4902084	5093632	191549	125000	85589
3L	NW_023496812.1	24550668	29	5093633	5269434	175802	125000	86815
3L	NW_023496812.1	24550668	30	5269435	5444785	175351	125000	81124
3L	NW_023496812.1	24550668	31	5444786	5633981	189196	125000	84505
3L	NW_023496812.1	24550668	32	5633982	5799768	165787	125000	86468
3L	NW_023496812.1	24550668	33	5799769	5977069	177301	125000	88176
3L	NW_023496812.1	24550668	34	5977070	6180355	203286	125000	90859
3L	NW_023496812.1	24550668	35	6180356	6387158	206803	125000	90586
3L	NW_023496812.1	24550668	36	6387159	6560542	173384	125000	88316
3L	NW_023496812.1	24550668	37	6560543	6732361	171819	125000	88471
3L	NW_023496812.1	24550668	38	6732362	6893705	161344	125000	88032
3L	NW_023496812.1	24550668	39	6893706	7073383	179678	125000	87586
3L	NW_023496812.1	24550668	40	7073384	7252986	179603	125000	88097
3L	NW_023496812.1	24550668	41	7252987	7434084	181098	125000	90184
3L	NW_023496812.1	24550668	42	7434085	7613549	179465	125000	85600
3L	NW_023496812.1	24550668	43	7613550	7791699	178150	125000	87294
3L	NW_023496812.1	24550668	44	7791700	7982161	190462	125000	86657
3L	NW_023496812.1	24550668	45	7982162	8150021	167860	125000	86894
3L	NW_023496812.1	24550668	46	8150022	8392644	242623	125000	89869
3L	NW_023496812.1	24550668	47	8392645	8559825	167181	125000	84739
3L	NW_023496812.1	24550668	48	8559826	8747929	188104	125000	86281
3L	NW_023496812.1	24550668	49	8747930	8922567	174638	125000	87829
3L	NW_023496812.1	24550668	50	8922568	9117607	195040	125000	87560
3L	NW_023496812.1	24550668	51	9117608	9288295	170688	125000	89292
3L	NW_023496812.1	24550668	52	9288296	9492389	204094	125000	93950
3L	NW_023496812.1	24550668	53	9492390	9684849	192460	125000	91527
3L	NW_023496812.1	24550668	54	9684850	9852749	167900	125000	87543
3L	NW_023496812.1	24550668	55	9852750	10019144	166395	125000	86126
3L	NW_023496812.1	24550668	56	10019145	10193607	174463	125000	87703
3L	NW_023496812.1	24550668	57	10193608	10386444	192837	125000	90193
3L	NW_023496812.1	24550668	58	10386445	10574708	188264	125000	82916
3L	NW_023496812.1	24550668	59	10574709	10753516	178808	125000	87910
3L	NW_023496812.1	24550668	60	10753517	10942519	189003	125000	91626
3L	NW_023496812.1	24550668	61	10942520	11122601	180082	125000	88727
3L	NW_023496812.1	24550668	62	11122602	11323926	201325	125000	90180
3L	NW_023496812.1	24550668	63	11323927	11497788	173862	125000	89716
3L	NW_023496812.1	24550668	64	11497789	11673018	175230	125000	88616
3L	NW_023496812.1	24550668	65	11673019	11866070	193052	125000	86205
3L	NW_023496812.1	24550668	66	11866071	12053452	187382	125000	89822
3L	NW_023496812.1	24550668	67	12053453	12238769	185317	125000	87240
3L	NW_023496812.1	24550668	68	12238770	12419953	181184	125000	83790
3L	NW_023496812.1	24550668	69	12419954	12585827	165874	125000	89982
3L	NW_023496812.1	24550668	70	12585828	12758935	173108	125000	88455
3L	NW_023496812.1	24550668	71	12758936	12932358	173423	125000	86799
3L	NW_023496812.1	24550668	72	12932359	13100955	168597	125000	88598
3L	NW_023496812.1	24550668	73	13100956	13279511	178556	125000	86901
3L	NW_023496812.1	24550668	74	13279512	13485907	206396	125000	90152
3L	NW_023496812.1	24550668	75	13485908	13653254	167347	125000	87160
3L	NW_023496812.1	24550668	76	13653255	13837975	184721	125000	91798
3L	NW_023496812.1	24550668	77	13837976	14023136	185161	125000	88173
3L	NW_023496812.1	24550668	78	14023137	14204759	181623	125000	90846
3L	NW_023496812.1	24550668	79	14204760	14372612	167853	125000	91034
3L	NW_023496812.1	24550668	80	14372613	14565745	193133	125000	87786
3L	NW_023496812.1	24550668	81	14565746	14746548	180803	125000	88459
3L	NW_023496812.1	24550668	82	14746549	14929286	182738	125000	91504
3L	NW_023496812.1	24550668	83	14929287	15095425	166139	125000	85982
3L	NW_023496812.1	24550668	84	15095426	15274791	179366	125000	84079
3L	NW_023496812.1	24550668	85	15274792	15453842	179051	125000	85963
3L	NW_023496812.1	24550668	86	15453843	15642537	188695	125000	81325
3L	NW_023496812.1	24550668	87	15642538	15836490	193953	125000	82161
3L	NW_023496812.1	24550668	88	15836491	15993123	156633	125000	84948
3L	NW_023496812.1	24550668	89	15993124	16155649	162526	125000	87582
3L	NW_023496812.1	24550668	90	16155650	16326910	171261	125000	88146
3L	NW_023496812.1	24550668	91	16326911	16506154	179244	125000	88760
3L	NW_023496812.1	24550668	92	16506155	16686660	180506	125000	92681
3L	NW_023496812.1	24550668	93	16686661	16859998	173338	125000	90263
3L	NW_023496812.1	24550668	94	16859999	17038187	178189	125000	89944
3L	NW_023496812.1	24550668	95	17038188	17242303	204116	125000	92320
3L	NW_023496812.1	24550668	96	17242304	17432512	190209	125000	84220
3L	NW_023496812.1	24550668	97	17432513	17629527	197015	125000	86562
3L	NW_023496812.1	24550668	98	17629528	17842046	212519	125000	86730
3L	NW_023496812.1	24550668	99	17842047	18007859	165813	125000	85079
3L	NW_023496812.1	24550668	100	18007860	18189405	181546	125000	85898
3L	NW_023496812.1	24550668	101	18189406	18389541	200136	125000	89921
3L	NW_023496812.1	24550668	102	18389542	18570611	181070	125000	91989
3L	NW_023496812.1	24550668	103	18570612	18779396	208785	125000	91186
3L	NW_023496812.1	24550668	104	18779397	18950477	171081	125000	87407
3L	NW_023496812.1	24550668	105	18950478	19136368	185891	125000	85979
3L	NW_023496812.1	24550668	106	19136369	19329540	193172	125000	91491
3L	NW_023496812.1	24550668	107	19329541	19494376	164836	125000	89748
3L	NW_023496812.1	24550668	108	19494377	19681911	187535	125000	86720
3L	NW_023496812.1	24550668	109	19681912	19844905	162994	125000	88051
3L	NW_023496812.1	24550668	110	19844906	20003470	158565	125000	87567
3L	NW_023496812.1	24550668	111	20003471	20174767	171297	125000	83655
3L	NW_023496812.1	24550668	112	20174768	20350294	175527	125000	86298
3L	NW_023496812.1	24550668	113	20350295	20606755	256461	125000	84746
3L	NW_023496812.1	24550668	114	20606756	21039287	432532	125000	76802
3L	NW_023496812.1	24550668	115	21039288	21637941	598654	125000	78015
3L	NW_023496812.1	24550668	116	21637942	21814683	176742	125000	80174
3L	NW_023496812.1	24550668	117	21814684	22018935	204252	125000	78924
3L	NW_023496812.1	24550668	118	22018936	22201586	182651	125000	76827
3L	NW_023496812.1	24550668	119	22201587	22448805	247219	125000	76690
3L	NW_023496812.1	24550668	120	22448806	22690600	241795	125000	71593
3L	NW_023496812.1	24550668	121	22690601	22867307	176707	125000	68113
3L	NW_023496812.1	24550668	122	22867308	23093766	226459	125000	67410
3L	NW_023496812.1	24550668	123	23093767	23357792	264026	125000	67909
3L	NW_023496812.1	24550668	124	23357793	23725582	367790	125000	68711
3L	NW_023496812.1	24550668	125	23725583	24067160	341578	125000	65572
3L	NW_023496812.1	24550668	126	24067161	24322381	255221	125000	66920
2L	NW_023496800.1	25589241	0	1	221742	221742	125000	69004
2L	NW_023496800.1	25589241	1	221743	402023	180281	125000	68483
2L	NW_023496800.1	25589241	2	402024	607944	205921	125000	68258
2L	NW_023496800.1	25589241	3	607945	761643	153699	125000	69612
2L	NW_023496800.1	25589241	4	761644	928977	167334	125000	73758
2L	NW_023496800.1	25589241	5	928978	1099072	170095	125000	79178
2L	NW_023496800.1	25589241	6	1099073	1385352	286280	125000	80649
2L	NW_023496800.1	25589241	7	1385353	1563591	178239	125000	79527
2L	NW_023496800.1	25589241	8	1563592	1728568	164977	125000	83487
2L	NW_023496800.1	25589241	9	1728569	1939530	210962	125000	80319
2L	NW_023496800.1	25589241	10	1939531	2101608	162078	125000	82149
2L	NW_023496800.1	25589241	11	2101609	2299612	198004	125000	83991
2L	NW_023496800.1	25589241	12	2299613	2507840	208228	125000	87110
2L	NW_023496800.1	25589241	13	2507841	2767755	259915	125000	86600
2L	NW_023496800.1	25589241	14	2767756	2933779	166024	125000	89502
2L	NW_023496800.1	25589241	15	2933780	3114464	180685	125000	87783
2L	NW_023496800.1	25589241	16	3114465	3282326	167862	125000	85496
2L	NW_023496800.1	25589241	17	3282327	3452579	170253	125000	87977
2L	NW_023496800.1	25589241	18	3452580	3612969	160390	125000	85212
2L	NW_023496800.1	25589241	19	3612970	3778182	165213	125000	85656
2L	NW_023496800.1	25589241	20	3778183	3957057	178875	125000	87137
2L	NW_023496800.1	25589241	21	3957058	4117311	160254	125000	84483
2L	NW_023496800.1	25589241	22	4117312	4304866	187555	125000	86122
2L	NW_023496800.1	25589241	23	4304867	4479531	174665	125000	83910
2L	NW_023496800.1	25589241	24	4479532	4659871	180340	125000	87110
2L	NW_023496800.1	25589241	25	4659872	4823232	163361	125000	87579
2L	NW_023496800.1	25589241	26	4823233	4990126	166894	125000	88825
2L	NW_023496800.1	25589241	27	4990127	5177455	187329	125000	86850
2L	NW_023496800.1	25589241	28	5177456	5405961	228506	125000	85158
2L	NW_023496800.1	25589241	29	5405962	5571574	165613	125000	88424
2L	NW_023496800.1	25589241	30	5571575	5741717	170143	125000	87167
2L	NW_023496800.1	25589241	31	5741718	5905769	164052	125000	85300
2L	NW_023496800.1	25589241	32	5905770	6080807	175038	125000	87263
2L	NW_023496800.1	25589241	33	6080808	6290304	209497	125000	84930
2L	NW_023496800.1	25589241	34	6290305	6469754	179450	125000	85720
2L	NW_023496800.1	25589241	35	6469755	6643391	173637	125000	82404
2L	NW_023496800.1	25589241	36	6643392	6815492	172101	125000	83616
2L	NW_023496800.1	25589241	37	6815493	6988062	172570	125000	86548
2L	NW_023496800.1	25589241	38	6988063	7174446	186384	125000	87044
2L	NW_023496800.1	25589241	39	7174447	7345611	171165	125000	86747
2L	NW_023496800.1	25589241	40	7345612	7534274	188663	125000	89670
2L	NW_023496800.1	25589241	41	7534275	7712204	177930	125000	84770
2L	NW_023496800.1	25589241	42	7712205	7885227	173023	125000	88000
2L	NW_023496800.1	25589241	43	7885228	8062903	177676	125000	89255
2L	NW_023496800.1	25589241	44	8062904	8246614	183711	125000	86417
2L	NW_023496800.1	25589241	45	8246615	8434666	188052	125000	88290
2L	NW_023496800.1	25589241	46	8434667	8611429	176763	125000	89540
2L	NW_023496800.1	25589241	47	8611430	8783894	172465	125000	87258
2L	NW_023496800.1	25589241	48	8783895	8975514	191620	125000	87077
2L	NW_023496800.1	25589241	49	8975515	9156480	180966	125000	86305
2L	NW_023496800.1	25589241	50	9156481	9338880	182400	125000	87566
2L	NW_023496800.1	25589241	51	9338881	9519637	180757	125000	86185
2L	NW_023496800.1	25589241	52	9519638	9700520	180883	125000	88084
2L	NW_023496800.1	25589241	53	9700521	9889648	189128	125000	88681
2L	NW_023496800.1	25589241	54	9889649	10108430	218782	125000	86848
2L	NW_023496800.1	25589241	55	10108431	10279238	170808	125000	89025
2L	NW_023496800.1	25589241	56	10279239	10464340	185102	125000	90901
2L	NW_023496800.1	25589241	57	10464341	10641324	176984	125000	89383
2L	NW_023496800.1	25589241	58	10641325	10803733	162409	125000	88921
2L	NW_023496800.1	25589241	59	10803734	10975388	171655	125000	86977
2L	NW_023496800.1	25589241	60	10975389	11150670	175282	125000	86201
2L	NW_023496800.1	25589241	61	11150671	11331091	180421	125000	88818
2L	NW_023496800.1	25589241	62	11331092	11499694	168603	125000	84847
2L	NW_023496800.1	25589241	63	11499695	11689668	189974	125000	90231
2L	NW_023496800.1	25589241	64	11689669	11861933	172265	125000	88430
2L	NW_023496800.1	25589241	65	11861934	12026740	164807	125000	87437
2L	NW_023496800.1	25589241	66	12026741	12194523	167783	125000	87553
2L	NW_023496800.1	25589241	67	12194524	12355128	160605	125000	86186
2L	NW_023496800.1	25589241	68	12355129	12515002	159874	125000	87930
2L	NW_023496800.1	25589241	69	12515003	12680615	165613	125000	87741
2L	NW_023496800.1	25589241	70	12680616	12856515	175900	125000	86910
2L	NW_023496800.1	25589241	71	12856516	13038345	181830	125000	89956
2L	NW_023496800.1	25589241	72	13038346	13201069	162724	125000	85289
2L	NW_023496800.1	25589241	73	13201070	13381528	180459	125000	88673
2L	NW_023496800.1	25589241	74	13381529	13547089	165561	125000	84528
2L	NW_023496800.1	25589241	75	13547090	13738231	191142	125000	88265
2L	NW_023496800.1	25589241	76	13738232	13914034	175803	125000	87883
2L	NW_023496800.1	25589241	77	13914035	14089719	175685	125000	86157
2L	NW_023496800.1	25589241	78	14089720	14262119	172400	125000	85883
2L	NW_023496800.1	25589241	79	14262120	14432558	170439	125000	91535
2L	NW_023496800.1	25589241	80	14432559	14625870	193312	125000	90315
2L	NW_023496800.1	25589241	81	14625871	14805991	180121	125000	88214
2L	NW_023496800.1	25589241	82	14805992	14965409	159418	125000	85407
2L	NW_023496800.1	25589241	83	14965410	15133120	167711	125000	86816
2L	NW_023496800.1	25589241	84	15133121	15304595	171475	125000	88223
2L	NW_023496800.1	25589241	85	15304596	15468144	163549	125000	86977
2L	NW_023496800.1	25589241	86	15468145	15639907	171763	125000	88572
2L	NW_023496800.1	25589241	87	15639908	15813204	173297	125000	89314
2L	NW_023496800.1	25589241	88	15813205	15985581	172377	125000	89115
2L	NW_023496800.1	25589241	89	15985582	16172066	186485	125000	87414
2L	NW_023496800.1	25589241	90	16172067	16361152	189086	125000	89353
2L	NW_023496800.1	25589241	91	16361153	16538931	177779	125000	89530
2L	NW_023496800.1	25589241	92	16538932	16727997	189066	125000	87481
2L	NW_023496800.1	25589241	93	16727998	16931601	203604	125000	91719
2L	NW_023496800.1	25589241	94	16931602	17111623	180022	125000	91233
2L	NW_023496800.1	25589241	95	17111624	17323301	211678	125000	88379
2L	NW_023496800.1	25589241	96	17323302	17504379	181078	125000	91714
2L	NW_023496800.1	25589241	97	17504380	17675662	171283	125000	90134
2L	NW_023496800.1	25589241	98	17675663	17855111	179449	125000	91310
2L	NW_023496800.1	25589241	99	17855112	18031401	176290	125000	89724
2L	NW_023496800.1	25589241	100	18031402	18201602	170201	125000	87578
2L	NW_023496800.1	25589241	101	18201603	18367657	166055	125000	78915
2L	NW_023496800.1	25589241	102	18367658	18551179	183522	125000	89972
2L	NW_023496800.1	25589241	103	18551180	18733261	182082	125000	90023
2L	NW_023496800.1	25589241	104	18733262	18902220	168959	125000	88282
2L	NW_023496800.1	25589241	105	18902221	19084172	181952	125000	90098
2L	NW_023496800.1	25589241	106	19084173	19286530	202358	125000	92088
2L	NW_023496800.1	25589241	107	19286531	19453353	166823	125000	87616
2L	NW_023496800.1	25589241	108	19453354	19639938	186585	125000	91413
2L	NW_023496800.1	25589241	109	19639939	19828388	188450	125000	91505
2L	NW_023496800.1	25589241	110	19828389	20015982	187594	125000	89602
2L	NW_023496800.1	25589241	111	20015983	20201442	185460	125000	91220
2L	NW_023496800.1	25589241	112	20201443	20409727	208285	125000	93364
2L	NW_023496800.1	25589241	113	20409728	20626088	216361	125000	90355
2L	NW_023496800.1	25589241	114	20626089	20803233	177145	125000	91907
2L	NW_023496800.1	25589241	115	20803234	20981351	178118	125000	89481
2L	NW_023496800.1	25589241	116	20981352	21165729	184378	125000	90560
2L	NW_023496800.1	25589241	117	21165730	21341029	175300	125000	90021
2L	NW_023496800.1	25589241	118	21341030	21523778	182749	125000	90182
2L	NW_023496800.1	25589241	119	21523779	21701818	178040	125000	90950
2L	NW_023496800.1	25589241	120	21701819	21879527	177709	125000	90958
2L	NW_023496800.1	25589241	121	21879528	22054371	174844	125000	87562
2L	NW_023496800.1	25589241	122	22054372	22232847	178476	125000	87589
2L	NW_023496800.1	25589241	123	22232848	22412753	179906	125000	89978
2L	NW_023496800.1	25589241	124	22412754	22586945	174192	125000	89478
2L	NW_023496800.1	25589241	125	22586946	22746548	159603	125000	87117
2L	NW_023496800.1	25589241	126	22746549	22916572	170024	125000	87216
2L	NW_023496800.1	25589241	127	22916573	23076866	160294	125000	86302
2L	NW_023496800.1	25589241	128	23076867	23246688	169822	125000	86857
2L	NW_023496800.1	25589241	129	23246689	23407659	160971	125000	84144
2L	NW_023496800.1	25589241	130	23407660	23565981	158322	125000	87018
2L	NW_023496800.1	25589241	131	23565982	23735965	169984	125000	85874
2L	NW_023496800.1	25589241	132	23735966	23898597	162632	125000	84046
2L	NW_023496800.1	25589241	133	23898598	24066202	167605	125000	83935
2L	NW_023496800.1	25589241	134	24066203	24222518	156316	125000	84913
2L	NW_023496800.1	25589241	135	24222519	24372820	150302	125000	82402
2L	NW_023496800.1	25589241	136	24372821	24523722	150902	125000	83968
2L	NW_023496800.1	25589241	137	24523723	24684050	160328	125000	84348
2L	NW_023496800.1	25589241	138	24684051	24830980	146930	125000	80352
2L	NW_023496800.1	25589241	139	24830981	24980401	149421	125000	80526
2L	NW_023496800.1	25589241	140	24980402	25133259	152858	125000	80930
2L	NW_023496800.1	25589241	141	25133260	25289736	156477	125000	79924
2L	NW_023496800.1	25589241	142	25289737	25468608	178872	125000	73031
